特征名称,重要性
f98,401.0
f131,396.0
f91,388.0
f0,387.0
f155,384.0
f26,373.0
f109,373.0
f120,372.0
f101,371.0
f113,368.0
f10,367.0
f5,365.0
f89,365.0
f125,365.0
f92,362.0
f127,362.0
f81,359.0
f107,359.0
f100,358.0
f24,356.0
f108,355.0
f75,354.0
f87,354.0
f129,352.0
f132,351.0
f16,349.0
f17,349.0
f22,349.0
f7,347.0
f28,347.0
f61,347.0
f104,347.0
f135,346.0
f6,345.0
f71,345.0
f140,345.0
f27,344.0
f9,343.0
f122,343.0
f124,340.0
f18,338.0
f67,336.0
f99,336.0
f130,336.0
f138,336.0
f111,335.0
f116,335.0
f128,333.0
f79,332.0
f161,332.0
f86,331.0
f103,331.0
f30,330.0
f153,330.0
f63,329.0
f126,329.0
f34,328.0
f35,328.0
f118,328.0
f21,326.0
f25,326.0
f33,326.0
f3,325.0
f4,325.0
f102,324.0
f133,324.0
f51,323.0
f145,323.0
f23,322.0
f29,322.0
f65,322.0
f85,322.0
f95,322.0
f97,322.0
f94,320.0
f114,319.0
f105,317.0
f123,317.0
f137,316.0
f44,313.0
f88,313.0
f106,313.0
f11,312.0
f68,312.0
f80,312.0
f175,312.0
f110,311.0
f8,309.0
f90,309.0
f134,307.0
f15,306.0
f74,306.0
f77,306.0
f52,304.0
f165,304.0
f19,303.0
f112,303.0
f141,303.0
f72,302.0
f115,302.0
f154,302.0
f172,302.0
f32,301.0
f69,300.0
f20,298.0
f152,298.0
f143,296.0
f45,295.0
f49,295.0
f136,295.0
f2,293.0
f93,292.0
f47,291.0
f53,291.0
f151,291.0
f70,288.0
f78,288.0
f159,288.0
f147,287.0
f76,286.0
f96,285.0
f31,284.0
f150,283.0
f160,283.0
f157,282.0
f41,281.0
f50,281.0
f64,281.0
f179,281.0
f121,280.0
f174,280.0
f1,279.0
f62,279.0
f60,278.0
f148,278.0
f37,277.0
f197,275.0
f66,273.0
f156,273.0
f59,272.0
f84,270.0
f139,269.0
f226,269.0
f54,266.0
f142,266.0
f146,266.0
f119,265.0
f173,265.0
f36,264.0
f12,263.0
f43,262.0
f144,262.0
f149,261.0
f166,261.0
f42,260.0
f57,260.0
f73,260.0
f162,260.0
f171,260.0
f169,258.0
f192,257.0
f40,256.0
f117,256.0
f273,256.0
f39,254.0
f58,254.0
f182,254.0
f164,249.0
f176,249.0
f170,248.0
f186,248.0
f193,247.0
f48,246.0
f13,242.0
f38,242.0
f158,241.0
f198,241.0
f82,240.0
f83,239.0
f167,239.0
f181,235.0
f547,230.0
f232,229.0
f177,228.0
f180,228.0
f46,227.0
f168,226.0
f187,226.0
f163,222.0
f184,222.0
f221,222.0
f189,221.0
f196,221.0
f201,220.0
f190,218.0
f183,217.0
f185,217.0
f199,217.0
f14,216.0
f521,216.0
f598,216.0
f879,216.0
f178,215.0
f234,213.0
f613,213.0
f880,213.0
f438,212.0
f188,211.0
f272,210.0
f212,207.0
f252,207.0
f213,205.0
f224,204.0
f56,202.0
f191,201.0
f945,201.0
f1051,201.0
f246,200.0
f567,200.0
f995,200.0
f1029,200.0
f533,199.0
f1000,199.0
f241,198.0
f293,198.0
f55,197.0
f200,197.0
f292,197.0
f661,197.0
f618,196.0
f666,196.0
f757,196.0
f275,195.0
f636,195.0
f513,194.0
f220,193.0
f373,193.0
f300,192.0
f500,192.0
f626,192.0
f202,191.0
f718,191.0
f878,191.0
f1031,191.0
f209,189.0
f239,189.0
f580,189.0
f698,189.0
f406,188.0
f499,188.0
f558,187.0
f638,187.0
f671,187.0
f206,186.0
f217,186.0
f307,186.0
f564,186.0
f215,185.0
f278,185.0
f298,185.0
f338,185.0
f527,185.0
f740,185.0
f203,184.0
f587,184.0
f727,184.0
f749,184.0
f1035,184.0
f218,183.0
f458,183.0
f519,183.0
f906,183.0
f204,182.0
f313,182.0
f333,182.0
f415,182.0
f423,182.0
f444,182.0
f512,182.0
f526,182.0
f552,182.0
f738,182.0
f208,181.0
f214,181.0
f581,181.0
f919,181.0
f1118,181.0
f195,180.0
f210,180.0
f238,180.0
f326,180.0
f578,180.0
f623,180.0
f1085,180.0
f194,179.0
f266,179.0
f327,179.0
f481,179.0
f672,179.0
f692,179.0
f786,179.0
f806,179.0
f1138,179.0
f229,178.0
f361,178.0
f402,178.0
f766,178.0
f774,178.0
f826,178.0
f840,178.0
f1014,178.0
f1187,178.0
f332,177.0
f489,177.0
f535,177.0
f599,177.0
f641,177.0
f886,177.0
f1011,177.0
f1298,177.0
f507,176.0
f629,176.0
f668,176.0
f780,176.0
f908,176.0
f980,176.0
f981,176.0
f1012,176.0
f244,175.0
f258,175.0
f321,175.0
f453,175.0
f471,175.0
f586,175.0
f621,175.0
f656,175.0
f719,175.0
f746,175.0
f926,175.0
f1318,175.0
f328,174.0
f426,174.0
f427,174.0
f584,174.0
f659,174.0
f753,174.0
f760,174.0
f251,173.0
f287,173.0
f505,173.0
f767,173.0
f907,173.0
f935,173.0
f1030,173.0
f1200,173.0
f405,172.0
f610,172.0
f633,172.0
f938,172.0
f225,171.0
f233,171.0
f253,171.0
f284,171.0
f289,171.0
f401,171.0
f478,171.0
f532,171.0
f609,171.0
f635,171.0
f1126,171.0
f237,170.0
f242,170.0
f285,170.0
f398,170.0
f435,170.0
f546,170.0
f632,170.0
f634,170.0
f639,170.0
f713,170.0
f1015,170.0
f267,169.0
f335,169.0
f443,169.0
f459,169.0
f469,169.0
f579,169.0
f606,169.0
f630,169.0
f646,169.0
f921,169.0
f994,169.0
f254,168.0
f359,168.0
f378,168.0
f418,168.0
f451,168.0
f503,168.0
f553,168.0
f675,168.0
f847,168.0
f892,168.0
f898,168.0
f925,168.0
f240,167.0
f270,167.0
f312,167.0
f479,167.0
f493,167.0
f515,167.0
f709,167.0
f741,167.0
f755,167.0
f772,167.0
f872,167.0
f947,167.0
f473,166.0
f522,166.0
f541,166.0
f693,166.0
f809,166.0
f832,166.0
f207,165.0
f243,165.0
f248,165.0
f306,165.0
f315,165.0
f341,165.0
f366,165.0
f391,165.0
f686,165.0
f752,165.0
f818,165.0
f944,165.0
f965,165.0
f991,165.0
f1020,165.0
f205,164.0
f260,164.0
f433,164.0
f487,164.0
f538,164.0
f576,164.0
f655,164.0
f1063,164.0
f1094,164.0
f1098,164.0
f1278,164.0
f1338,164.0
f249,163.0
f261,163.0
f288,163.0
f382,163.0
f592,163.0
f608,163.0
f688,163.0
f689,163.0
f721,163.0
f798,163.0
f893,163.0
f1045,163.0
f1072,163.0
f1073,163.0
f346,162.0
f347,162.0
f390,162.0
f395,162.0
f403,162.0
f425,162.0
f448,162.0
f452,162.0
f472,162.0
f540,162.0
f600,162.0
f664,162.0
f678,162.0
f807,162.0
f894,162.0
f899,162.0
f903,162.0
f941,162.0
f334,161.0
f344,161.0
f364,161.0
f386,161.0
f550,161.0
f650,161.0
f695,161.0
f860,161.0
f865,161.0
f900,161.0
f958,161.0
f999,161.0
f1002,161.0
f1033,161.0
f1112,161.0
f1143,161.0
f223,160.0
f392,160.0
f409,160.0
f466,160.0
f555,160.0
f573,160.0
f660,160.0
f684,160.0
f859,160.0
f889,160.0
f967,160.0
f1026,160.0
f1074,160.0
f250,159.0
f274,159.0
f309,159.0
f318,159.0
f432,159.0
f820,159.0
f827,159.0
f918,159.0
f920,159.0
f966,159.0
f1123,159.0
f219,158.0
f255,158.0
f358,158.0
f384,158.0
f504,158.0
f525,158.0
f616,158.0
f726,158.0
f928,158.0
f946,158.0
f1001,158.0
